date,platform,n
2016-05-01,facebook,357
2016-05-01,mailchimp,269
2016-05-02,facebook,357
2016-05-02,mailchimp,269
2016-05-03,facebook,357
2016-05-03,mailchimp,269
2016-05-04,facebook,357
2016-05-04,mailchimp,269
2016-05-05,facebook,357
2016-05-05,mailchimp,269
2016-05-06,facebook,356
2016-05-06,mailchimp,269
2016-05-07,facebook,356
2016-05-07,mailchimp,269
2016-05-08,facebook,356
2016-05-08,mailchimp,269
2016-05-09,facebook,357
2016-05-09,mailchimp,269
2016-05-10,facebook,358
2016-05-10,mailchimp,269
2016-05-11,facebook,360
2016-05-11,mailchimp,269
2016-05-12,facebook,362
2016-05-12,mailchimp,270
2016-05-13,facebook,363
2016-05-13,mailchimp,270
2016-05-14,facebook,363
2016-05-14,mailchimp,270
2016-05-15,facebook,364
2016-05-15,mailchimp,270
2016-05-16,facebook,365
2016-05-16,mailchimp,270
2016-05-17,facebook,365
2016-05-17,mailchimp,270
2016-05-18,facebook,366
2016-05-18,mailchimp,270
2016-05-19,facebook,366
2016-05-19,mailchimp,270
2016-05-20,facebook,366
2016-05-20,mailchimp,270
2016-05-21,facebook,366
2016-05-21,mailchimp,270
2016-05-22,facebook,366
2016-05-22,mailchimp,270
2016-05-23,facebook,367
2016-05-23,mailchimp,270
2016-05-24,facebook,372
2016-05-24,mailchimp,270
2016-05-25,facebook,377
2016-05-25,mailchimp,270
2016-05-26,facebook,377
2016-05-26,mailchimp,270
2016-05-27,facebook,378
2016-05-27,mailchimp,270
2016-05-28,facebook,378
2016-05-28,mailchimp,270
2016-05-29,facebook,378
2016-05-29,mailchimp,270
2016-05-30,facebook,381
2016-05-30,mailchimp,270
2016-05-31,facebook,384
2016-05-31,mailchimp,270
2016-06-01,facebook,387
2016-06-01,mailchimp,270
2016-06-02,facebook,390
2016-06-02,mailchimp,270
2016-06-03,facebook,392
2016-06-03,mailchimp,270
2016-06-04,facebook,393
2016-06-04,mailchimp,270
2016-06-05,facebook,394
2016-06-05,mailchimp,270
2016-06-06,facebook,394
2016-06-06,mailchimp,270
2016-06-07,facebook,397
2016-06-07,mailchimp,270
2016-06-08,facebook,399
2016-06-08,mailchimp,270
2016-06-09,facebook,401
2016-06-09,mailchimp,270
2016-06-10,facebook,401
2016-06-10,mailchimp,270
2016-06-11,facebook,401
2016-06-11,mailchimp,270
2016-06-12,facebook,401
2016-06-12,mailchimp,270
2016-06-13,facebook,407
2016-06-13,mailchimp,270
2016-06-14,facebook,408
2016-06-14,mailchimp,270
2016-06-15,facebook,408
2016-06-15,mailchimp,270
2016-06-16,facebook,408
2016-06-16,mailchimp,270
2016-06-17,facebook,408
2016-06-17,mailchimp,270
2016-06-18,facebook,408
2016-06-18,mailchimp,270
2016-06-19,facebook,408
2016-06-19,mailchimp,270
2016-06-20,facebook,409
2016-06-20,mailchimp,270
2016-06-21,facebook,410
2016-06-21,mailchimp,270
2016-06-22,facebook,411
2016-06-22,mailchimp,270
2016-06-23,facebook,414
2016-06-23,mailchimp,270
2016-06-24,facebook,417
2016-06-24,mailchimp,270
2016-06-25,facebook,418
2016-06-25,mailchimp,270
2016-06-26,facebook,419
2016-06-26,mailchimp,270
2016-06-27,facebook,420
2016-06-27,mailchimp,270
2016-06-28,facebook,420
2016-06-28,mailchimp,270
2016-06-29,facebook,422
2016-06-29,mailchimp,270
2016-06-30,facebook,423
2016-06-30,mailchimp,270
2016-07-01,facebook,424
2016-07-01,mailchimp,270
2016-07-02,facebook,424
2016-07-02,mailchimp,270
2016-07-03,facebook,425
2016-07-03,mailchimp,270
2016-07-04,facebook,425
2016-07-04,mailchimp,270
2016-07-05,facebook,426
2016-07-05,mailchimp,270
2016-07-06,facebook,426
2016-07-06,mailchimp,270
2016-07-07,facebook,427
2016-07-07,mailchimp,270
2016-07-08,facebook,428
2016-07-08,mailchimp,270
2016-07-09,facebook,428
2016-07-09,mailchimp,270
2016-07-10,facebook,429
2016-07-10,mailchimp,270
2016-07-11,facebook,429
2016-07-11,mailchimp,270
2016-07-12,facebook,429
2016-07-12,mailchimp,270
2016-07-13,facebook,430
